등록번호,학원명,지역,주소,학년상태,공시학년,과목별학년,이전공개학년,등록근거,보류문구,후기검토단서,기존순위대상,점검일
3000052713,대치영독학원,daechi,서울특별시 강남구 남부순환로 2909,미확인,,"{""general"": """", ""english"": """"}",고등,[],[],"{""high"": 7, ""middle"": 1}",예,2026-09-19
3000037937,대치이지영어학원,daechi,서울특별시 강남구 삼성로 212,미확인,,"{""english"": """"}","초등고학년, 중등",[],[],"{""middle"": 16, ""high"": 29, ""elem_high"": 1}",예,2026-09-19
1000036516,대치필,daechi,서울특별시 강남구 삼성로 150,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """"}","중등, 고등",[],[],"{""middle"": 9, ""high"": 8, ""elem_low"": 4}",예,2026-09-19
3000041911,돌파수학학원,daechi,서울특별시 강남구 역삼로 441,미확인,,"{""math"": """", ""general"": """"}","중등, 고등",[],[],"{""high"": 11, ""middle"": 31, ""elem_low"": 1, ""elem_high"": 6}",예,2026-09-19
3000030268,디랩코딩학원,daechi,서울특별시 강남구 영동대로 229,미확인,,"{""etc"": """"}",,[],[],"{""elem_low"": 2, ""middle"": 2, ""high"": 1}",예,2026-09-19
16804,러셀대치학원,daechi,서울특별시 강남구 남부순환로 2942,미확인,,"{""general"": """", ""korean"": """"}",고등,[],[],"{""middle"": 3, ""high"": 11}",예,2026-09-19
24349,로고스,daechi,서울특별시 강남구 삼성로 238,미확인,,"{""general"": """", ""korean"": """"}",고등,[],[],"{""high"": 1}",예,2026-09-19
3000046558,메이드학원,daechi,서울특별시 강남구 삼성로57길 31,미확인,,"{""general"": """", ""math"": """"}","중등, 고등",[],[],"{""high"": 55, ""middle"": 16, ""elem_low"": 3, ""elem_high"": 1}",예,2026-09-19
5990,명인학원,daechi,서울특별시 강남구 도곡로 408,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """"}","중등, 고등",[],[],"{""high"": 53, ""middle"": 31, ""elem_low"": 1, ""elem_high"": 1}",예,2026-09-19
1000036288,미래탐구학원,daechi,서울특별시 강남구 도곡로63길 12,미확인,,"{""general"": """", ""science"": """"}","중등, 고등",[],[],"{""high"": 4, ""middle"": 4}",예,2026-09-19
24352,부엉이학원,daechi,서울특별시 강남구 도곡로78길 7,미확인,,"{""general"": """"}","초등저학년, 고등",[],[],{},예,2026-09-19
5455,블루스카이학원,daechi,서울특별시 강남구 역삼로 538,미확인,,"{""general"": """", ""math"": """"}","중등, 고등",[],[],"{""middle"": 14, ""high"": 12}",예,2026-09-19
3000031703,사고력수학시매쓰학원,daechi,서울특별시 강남구 도곡로 408,미확인,,"{""math"": """"}","초등저학년, 초등고학년",[],[],"{""elem_low"": 44, ""high"": 15, ""elem_high"": 6, ""middle"": 15}",예,2026-09-19
2331,새움학원,daechi,서울특별시 강남구 도곡로 511,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 8, ""middle"": 1}",예,2026-09-19
1000036049,생각하는수학학원,daechi,서울특별시 강남구 역삼로 461,미확인,,"{""math"": """"}",,[],[],"{""middle"": 1}",예,2026-09-19
20218,생각하는황소,daechi,서울특별시 강남구 영동대로 302,미확인,,"{""general"": """", ""math"": """"}","초등저학년, 초등고학년, 중등, 고등",[],[],"{""middle"": 14, ""elem_low"": 17, ""elem_high"": 13, ""high"": 9}",예,2026-09-19
3000021584,서울엘리트학원,daechi,서울특별시 강남구 역삼로 420,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""science"": """"}","중등, 고등",[],[],"{""middle"": 17, ""high"": 21, ""elem_low"": 5, ""elem_high"": 2}",예,2026-09-19
15032,세계로학원,daechi,서울특별시 강남구 도곡로 430,미확인,,"{""general"": """", ""korean"": """"}",,[],[],"{""elem_low"": 4, ""middle"": 1, ""high"": 3}",예,2026-09-19
5657,세정학원,daechi,서울특별시 강남구 삼성로 306,미확인,,"{""general"": """", ""math"": """", ""english"": """", ""korean"": """"}","중등, 고등",[],[],"{""high"": 29, ""middle"": 14, ""elem_low"": 1, ""elem_high"": 1}",예,2026-09-19
2242,수찬학원,daechi,서울특별시 강남구 도곡로 444,미확인,,"{""general"": """", ""math"": """"}",중등,[],[],"{""middle"": 7, ""elem_high"": 1, ""high"": 4}",예,2026-09-19
3000012230,시대인재,daechi,서울특별시 강남구 도곡로 460,미확인,,"{""general"": """", ""math"": """"}",고등,[],[],"{""high"": 132, ""middle"": 15, ""elem_low"": 2}",예,2026-09-19
1000036325,씨앤에이논술학원,daechi,서울특별시 강남구 도곡로 450,미확인,,"{""korean"": """"}","중등, 고등",[],[],"{""elem_high"": 4, ""high"": 12, ""elem_low"": 4, ""middle"": 10}",예,2026-09-19
3000041231,아카로드학원,daechi,서울특별시 강남구 도곡로99길 16,미확인,,"{""general"": """", ""math"": """", ""science"": """"}",중등,[],[],"{""middle"": 15, ""high"": 1, ""elem_low"": 2, ""elem_high"": 2}",예,2026-09-19
3000043936,아티브학원,daechi,서울특별시 강남구 테헤란로25길 31,미확인,,"{""etc"": """"}",,[],[],{},예,2026-09-19
3000017482,안테나미술학원,daechi,서울특별시 강남구 선릉로86길 10,미확인,,"{""arts"": """"}",고등,[],[],"{""high"": 7}",예,2026-09-19
26427,알파잉글리쉬학원,daechi,서울특별시 강남구 남부순환로 2941,미확인,,"{""english"": """"}","초등저학년, 초등고학년",[],[],"{""middle"": 4, ""high"": 1, ""elem_low"": 3}",예,2026-09-19
3000048278,애니포스웹툰학원,daechi,서울특별시 강남구 도곡로 408,미확인,,"{""etc"": """"}",,[],[],"{""high"": 3, ""elem_high"": 3, ""middle"": 4}",예,2026-09-19
22806,예섬학원,daechi,서울특별시 강남구 도곡로 418,미확인,,"{""general"": """", ""math"": """", ""korean"": """"}","중등, 고등",[],[],"{""middle"": 8, ""high"": 17}",예,2026-09-19
3000051062,올바른인재학원,daechi,서울특별시 강남구 언주로6길 10,미확인,,"{""general"": """", ""math"": """", ""english"": """"}","중등, 고등",[],[],"{""middle"": 5, ""high"": 9}",예,2026-09-19
22537,와이즈만영재교육대치학원,daechi,서울특별시 강남구 영동대로 231,미확인,,"{""general"": """"}",,[],[],"{""high"": 1, ""elem_high"": 1, ""elem_low"": 1}",예,2026-09-19
1507,우리들,daechi,서울특별시 강남구 영동대로 219,미확인,,"{""arts"": """"}",,[],[],"{""middle"": 1}",예,2026-09-19
